collateralAmount,collateralReserve,pool,principalAmount,principalReserve,timestamp,user,type,priceUSDTCollateral,reservePriceETHPrincipal,reservePriceUSDPrincipal,reservePriceETHCollateral,reservePriceUSDCollateral,amountUSDPincipal,amountUSDCollateral
330855192754556269,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,63917,GUSD,1626124715,0x3424b949dbc5d2d2654cb6fc622c4d723b2e8fb4,liquidation,493380000000000,446377218623049.0,0.9047331035369268,,,57827.82577876975,
33825732222059557759476,ENJ,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,55144569141,USDT,1619145033,0x41a792401694fc00467207cfeb9b5f09aa2b834a,liquidation,819170533251580,456800000000000.0,1.0,456800000000000.0,0.5576372457964252,55144569141.0,1.8862488153356683e+22
6345434466,USDC,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,82079718741270808,YFI,1621319875,0xc6145175d51edfd6383851dc101f5872a79d7829,liquidation,282720000000000,2.06891441e+19,73178.91942558007,281000000000000.0,0.9939162422184493,6.006505124241731e+21,6306830379.690152
84893205411112175796,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,117034106538666291406154,BUSD,1614324006,0x01acb3804ba9c42111c6e9c127831eb486ca1ac7,liquidation,682310000000000,690830000000000.0,1.012486992715921,,,1.1849551057452896e+23,
3749460623379504856196,LINK,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,52067659439,USDC,1621788289,0x01214a235c6767040c8fef6bd33519a6c7ad79ae,liquidation,566833701101973,573940000000000.0,1.0125368320271215,8767150000000000.0,15.466882055452796,52720422939.43211,5.7992465233375325e+22
318221335498816797778,AAVE,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,121945051112,USDC,1621429473,0xffd70ed81bd9eefe8d0ef4cbbfafb40c234ff957,liquidation,449821338969602,437325827098125.0,0.9722211669635321,1.843455665219044e+17,409.8195228892022,118557559897.53621,1.3041331588728985e+23
30303729771,USDC,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,20397070830737778000000,CRV,1610848603,0x027fca5dce8baa10e93ca93d0f2150e7ca4d4107,liquidation,812544043294036,779000000000000.0,0.9587172614569308,807806324238170.0,0.9941692772287649,1.955502388858797e+22,30127037123.770874
5133464603914763563,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,12574624250232127089529,BUSD,1621457720,0xee6256f9dcb69170231220a6549916d919b72f14,liquidation,387055000000000,388800000000000.0,1.0045084031985119,,,1.2631315726421958e+22,
34474169055717427006573,CRV,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,62604164661330773144626,DAI,1621428757,0x99c515bc95e43697b38f419d5359a3876b68e538,liquidation,407380000000000,415790000000000.0,1.0206441160587167,868322987563071.0,2.131481632782834,6.389657230235829e+22,7.348105814771204e+22
5599046155021296047151,LINK,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,77072742015,USDC,1610045471,0x59655511bc501dec7193f2928aad4dbeea1afbd7,liquidation,827500000000000,852493077158859.0,1.0302031143913704,1.2908337403356724e+16,15.599199278980935,79400578858.53561,8.734063674438918e+22
123757682872851490,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,225668612990687513155,DAI,1624518681,0x1f52d1682f618cec87ea87efc77d0b8c25a87ea1,liquidation,518860671108142,522290000000000.0,1.0066093444402597,,,2.2716013458329862e+20,
150251371417742474583,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,380606502056,USDC,1621424147,0x8877889ff4a0fa0415d7572cbc871ede200e2f78,liquidation,388943742290646,375969783580627.0,0.9666430969332219,,,367910647860.3325,
234722259124613012194,AAVE,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,53439473022,USDT,1621784952,0xfbbe3aab8987460e32e399fb0880e692405d38bb,liquidation,521085000000000,521085000000000.0,0.9999999999999999,1.3049959e+17,250.43820106124718,53439473021.99999,5.87834203242e+22
1755571407231314805960,AmmBptBALWETH,0xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,1200000000000,AmmUSDC,1621760653,0xcb2dd2dff6a62c50f35216cea10aafba9c8f483c,liquidation,494678884657959,493985902020644.0,0.9985991263043417,2.849015667835893e+17,575.9323383705407,1198318951565.21,1.011090345743192e+24
359052758391034575,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,500000000,USDC,1614375767,0x37341cbb14c5f128a70b149726ad8b2ce6f4c793,liquidation,683880000000000,683910015982923.0,1.000043890716095,,,500021945.3580474,
303644353300931472072,LINK,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,4457546065,USDC,1624363583,0x9b860b5f6ce49c84eef8e322b03cf6322008bc95,liquidation,534100000000000,535648596619920.0,1.002899450701966,8649744659969046.0,16.194990937968633,4470470500.06721,4.917517550073932e+21
78765415,WBTC,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1000104435696077736630,LINK,1611382540,0x30cc8552fad6a705bbf543744746bec4b2fde2dd,liquidation,796950000000000,1.875645e+16,23.535290796160364,2.645677122e+19,33197.529606625256,2.3537748720637054e+22,2614817196440.625
5828919181031002660156,ZRX,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,8342057499347398425361,DAI,1613996726,0x56dc4c9a3a7a442ef38ef6c6d23d299d8ae5d4f0,liquidation,894182500000000,567150000000000.0,0.9997355896351138,567300000000000.0,0.6344342458055263,8.339851772880093e+21,3.6980659444787703e+21
