borrowRateModeFrom,borrowRateModeTo,pool,reserve,stableBorrowRate,timestamp,user,variableBorrowRate,type
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,DAI,13.127453680223292,1610187419,0x6126f2a1bd956630f810d5ea351c5a4d65cb5033,8.127453680223292,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDC,8.980516787161111,1613347834,0x717e61157ce63c7cd901dcb2f169f019d16c5ac9,3.9610335743222236,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDT,8.950425201468045,1612677758,0x6536e7a30d5a912e422e464fc790fec22c86ef14,3.9008504029360873,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDT,11.345627381855005,1615670085,0xb6e69c51b46703eb68e05097bc27fb270bb8c1d5,6.345627381855004,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,DAI,11.991541743925122,1619344052,0xeb1c7938c41b1492ef15fe60992b468f24a0676f,3.9830834878502466,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDC,10.660687165321743,1624081677,0xed31de49696c3c995f2dcae199567e2a685bb644,3.3213743306434873,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDT,29.843199806565107,1611024392,0xaa2d47dccec3828205801670c6b003d4957f0d75,24.843199806565107,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDC,10.563143887650227,1622946185,0x95bbbe7a52ca7c3f6fcc53879619e664d57e2d75,3.126287775300455,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,KNC,10.107149437634371,1614463306,0x3d5fa2cad191fed8dd0224967801831c209f8c75,5.685719550107495,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,DAI,5.999407891585618,1608598625,0x508d496036bc285487086a649e816fd5ca8f54ff,3.9988157831712354,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDT,8.985427993374532,1611550924,0x205b993bb19930c80fb10ddf4f4c423e49c4caac,3.9708559867490676,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDC,10.569910440991627,1622813950,0xa49f89965ef9111773c0fc567f538b010c92be17,3.139820881983255,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDC,8.938146231104502,1611254856,0x26c795a469719c032473687c8cc9e156b6fea660,3.876292462209005,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDC,8.989043221046153,1615751835,0xb1b0af046a10d5a58f91cae25425c9d7aa867c77,3.9780864420923043,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDT,11.99811402732639,1617799160,0x233c09204a9bd98d2a80c3bf91a0fb37e9a96b16,3.996228054652777,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,DAI,9.088207400857701,1615520375,0xf40b3d16ae26262db9b19e0ec80d8a490c40bdcb,4.0882074008577,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDC,8.941354581021264,1612685908,0x3e4875cb28a5b4a14ca7de623da2bca494801bc6,3.8827091620425263,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,DAI,7.15644850635236,1608670814,0x6264b7f05facadaf24b71a96e1df3f46a654b799,5.156448506352359,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDC,10.544888761018264,1624830059,0xcbd0edbf33209e309b88c86772de17012d586fd6,3.0897775220365276,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDC,10.894421101808653,1618719232,0xec24326dd4e8ea371b22a83912f5b1a420c9ef79,3.7888422036173077,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,DAI,11.993764467243402,1619161134,0xb5c07a9fb691082697882e0dc13f0a5a10b6f185,3.987528934486802,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDT,8.959167579101488,1615622460,0x3302bf726082fc8f3adb9c2f85279c73812f9b00,3.918335158202975,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,DAI,8.98146316862613,1612672231,0x8cbd0842eca36e9a6156bd03a4b478df5f3a432f,3.9629263372522603,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDT,11.75185431535027,1624806902,0x6717acfa83bfc9855e3f68208f82e16ad5948816,3.5037086307005416,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDT,19.032226312240823,1619562738,0xc72aed14386158960d0e93fecb83642e68482e4b,11.032226312240825,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,DAI,14.873721560106649,1619554400,0x78b58e4197c04d320a33c582ecc3e7e885f26a58,6.873721560106648,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDC,10.650406268935624,1623558776,0xfd90ad81ad93d9af1008a513d964f6fbc589034d,3.30081253787125,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDC,10.553611618873397,1622511275,0x8bb683d68f60845e78a61b33d6b1757e56d5e511,3.1072232377467937,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,KNC,12.5248617974338,1627488127,0xee439ee079ac05d9d33a6926a16e0c820fb2713a,7.61988943794704,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDT,8.963193784018918,1614478339,0xa8defb2e1fe760f02f39e3d07a2ba0605fd8eb28,3.9263875680378377,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,DAI,22.708185470552284,1612911405,0x8a3facc4d660a373bcc6f70ba92ee1d06b6d0f64,17.708185470552284,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDC,15.134216530879144,1619458326,0xef5c8dfb7abaa3acd759d77fb156cea315eb69b8,8.134216530879144,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDT,11.89903529828511,1626275228,0x746806ff971c3b33fe1bd6383efbe05ead8fb183,3.7980705965702195,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDT,26.242504073140875,1619491914,0x79b03ba80a7aa612543f8445f8b1b944ece36fc8,18.24250407314088,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDT,11.65687477238661,1626728848,0x035fc3b0ec2487c1c9def561f578ec77a06b1b12,3.313749544773221,swap
