collateralAmount,collateralReserve,pool,principalAmount,principalReserve,timestamp,user,type,priceUSDTCollateral,reservePriceETHPrincipal,reservePriceUSDPrincipal,reservePriceETHCollateral,reservePriceUSDCollateral,amountUSDPincipal,amountUSDCollateral,liquidator,amountETHPincipal,amountETHCollateral,amountUSDPrincipal,principalCollateralStability,principalStability,collateralStability
5828919181031002660156,ZRX,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,8342057499347398425361,DAI,1613996726,0x56dc4c9a3a7a442ef38ef6c6d23d299d8ae5d4f0,liquidation,894182500000000.0,567150000000000.0,0.9997355896351138,567300000000000.0,0.6344342458055263,8.339851772880093e+21,3.69806594447877e+21,,,,,,,
10105822745689793108,LINK,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,156871635,USDC,1624670857,0xf99ca71f08aaa464d9d285315103eef13a27d71e,liquidation,549871209003254.0,547118353173797.0,0.9949936352651614,9342147397275068.0,16.98970094144315,156086278.37863952,1.7169490621650348e+20,,,,,,,
2646557732464532775,AAVE,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,520391244,USDC,1624300704,0x14269c411c382c9234839228740cca078f657d20,liquidation,519200000000000.0,520298837367788.0,1.0021164047915794,1.1253669304058e+17,216.75017919988449,521492602.5222976,5.7364186277452736e+20,,,,,,,
8998355814151413263,AAVE,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,78335199641059719838,LINK,1618807534,0xeabde343e66b9c5dc593ca4092a1060c98b102a3,liquidation,441600000000000.0,1.8139e+16,41.075634057971016,1.737e+17,393.3423913043479,3.217667994314272e+21,3.539434793745699e+21,,,,,,,
646382360626368681,AAVE,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,107338382,USDC,1624706675,0xf0ac6e403e0b2888fe1d4bf28425c5b49e35ae2e,liquidation,559756392640213.0,563870000000000.0,1.0073489243068476,1.03e+17,184.00861759555443,108127203.6445375,1.1893992461700923e+20,,,,,,,
127624882194041011331,SNX,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1582402419,USDC,1621705911,0x42b2d88a432ee9a025448942e62e0b84511a5f89,liquidation,437520000000000.0,438300000000000.0,1.001782775644542,5977860000000000.0,13.663055403181568,1585223487.4924574,1.7437458362417031e+21,,,,,,,
4300709292577245894,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,13855865827,USDC,1621218897,0xf050c442cca8f59cf74421b8617e9241f6bda18f,liquidation,295560000000000.0,295608637029156.0,1.0001645589022736,,,13858145933.07054,,,,,,,,
65072300505037245663,LINK,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1191547090388917621634,DAI,1624183891,0xfc8a392ec0f382815bede21260d520bc63fc54bc,liquidation,467133276185099.0,464200000000000.0,0.9937206867191009,9350027132470762.0,20.015759118744228,1.1840649929194217e+21,1.3024714922113638e+21,,,,,,,
27966294371570136425,LINK,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,51510,GUSD,1621814212,0xeb549c3be42ce5940a18cfe0b1669f0f4976d5b7,liquidation,476627170705620.0,446377218623049.0,0.9365333032991224,9570620000000000.0,20.07988756879141,48240.83045293779,5.615600466968524e+20,,,,,,,
6126581688941158574779,LINK,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,186048923783,USDT,1621423917,0xef21d6b89f92ed9900537fe61463f032ab460ebe,liquidation,372080000000000.0,372080000000000.0,1.0,1.2429050289943476e+16,33.40424180268619,186048923783.0,2.046538161613e+23,,,,,,,
5650495879193185712,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,15000208990,USDT,1621423142,0x2b0133e25e94906bb82bb6f14e900ed03ff281a8,liquidation,358756644686632.0,358756644686632.0,1.0,,,15000208990.0,,,,,,,,
1727482489740879075,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,4020482760198592362868,DAI,1621617641,0x9945daf5dcd39c9a3556d27c16af343765e5630c,liquidation,408507329800054.0,409209917547208.0,1.001719890185319,,,4.027397549038102e+21,,,,,,,,
420312613450786137379,LINK,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,7557231863,USDC,1621759910,0x5b6f1022c28600f51d93dba29c9ef57276385465,liquidation,488945000000000.0,486550000000000.0,0.995101698555052,9623000000000000.0,19.681150231621142,7520214263.245661,8.272235689570228e+21,,,,,,,
110269142700885000,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,239603539,USDC,1621706180,0x9c271e995550a2e6ce28336d8721f1b360a50b5c,liquidation,437520000000000.0,438300000000000.0,1.001782775644542,,,240030698.35367525,,,,,,,,
19384530,WBTC,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,5223470814,USDC,1624366005,0xf51ee4c49891f31366570b7f098e9c86ccccbd47,liquidation,557023300977355.0,565031302586259.0,1.0143764212284352,1.6748236024038527e+19,30067.388553857643,5298565630.696501,582842195443.9102,,,,,,,
182456971410835544,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,485548157722855657905,DAI,1621538901,0x017389d8542b201e4626dde118fd359b972c654d,liquidation,357040000000000.0,357881172931935.0,1.0023559627266834,,,4.866920910844605e+20,,,,,,,,
426193137003847500,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,852458733,USDC,1621812196,0xe3a1d041ea6c25d10a2b501672a4bbc04e253cb9,liquidation,476627170705620.0,476150000000000.0,0.9989988596224728,,,851605302.142218,,,,,,,,
976556633622570000,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1687631894,USDC,1624633549,0x1cc143cd356fb427887fd8e2928a2aad7c0d718d,liquidation,546790000000000.0,551100000000000.0,1.007882368002341,,,1700934429.6409955,,,,,,,,
457181170,USDC,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,435410639,USDC,1623349212,0xf4bab0e3c828e977eb5f2cffb6a50e36d39833af,liquidation,407000000000000.0,406332454200500.0,0.9983598383304668,406332454200500.0,0.9983598383304668,434696495.1594052,456431318.9689336,,,,,,,
3161772,WBTC,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,528086914505684061646,ENJ,1618174486,0xfb0aa48b4de58c756c3d3d356d478c644e21bb69,liquidation,464770000000000.0,464770000000000.0,0.3071733278212209,2.7798546e+19,59811.40348989823,1.6221421490755158e+20,189110020835.0625,,,,,,,
25294605356959219998,AAVE,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,4920847376,USDC,1624312121,0x595f8f256b1a3be5b32a94b31ecf3d66ca885862,liquidation,524710000000000.0,525290000000000.0,1.0011053724914714,1.1240970435503e+17,214.2320602905033,4926286745.32416,5.418915419856576e+21,,,,,,,
823859332,WBTC,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,275233715096,USDC,1621428550,0xd9d345f3d029a0512440772fcbca89fda68b6676,liquidation,399410000000000.0,400245350831890.0,1.0020914619861545,1.470847164e+19,36825.496707643775,275809355948.43134,30339029118127.6,,,,,,,
156871626885114700361274,REN,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,44145747737,USDC,1621786799,0xdebc61576f3b1b3a6f4f56adeddbfea49737d0f0,liquidation,542164285948932.0,547197947755866.0,1.0092843847102984,169387602766931.0,0.3124285519295273,44555613842.314095,4.90111752265455e+22,,,,,,,
87609684859217078451,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,158835345042006177670235,DAI,1624275044,0xc22060a0e86cc0ee5c24407303aec752e2791c3a,liquidation,521605911983858.0,525310000000000.0,1.0071013152478543,,,1.5996328489965115e+23,,,,,,,,
416815053048325296,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,937790496,USDC,1621701212,0xd2e6f46ca10f30059230ec4812f17086882314c8,liquidation,423046394878189.0,423300000000000.0,1.0005994735444657,,,938352676.5926032,,,,,,,,
207372451422550050000,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,187557049177,USDT,1610381929,0x85ccdcf580caf8a3674d94f3d6c63304674a8e09,liquidation,1053000000000000.0,1053000000000000.0,1.0,,,187557049177.0,,,,,,,,
17915494,WBTC,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,5798993006540454583907,DAI,1621625769,0x0320f12e5c7cb57029a9d4e1655e17f29866e478,liquidation,424155999343462.0,423280000000000.0,0.9979347236752092,1.507107493e+19,35531.91503439313,5.787016483576419e+21,636571810607.1799,,,,,,,
613529806023173752,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1007542333645637812224,DAI,1624695576,0x8f1093bb83b22ff3fa34a89ab47e398caa8918d5,liquidation,580200000000000.0,579940000000000.0,0.9995518786625304,,,1.0070908324275272e+21,,,,,,,,
1193151538680159327,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,2440581612420551724789,DAI,1624042658,0xe5ab4af22e4e49a9fdbcf821fd477b69c37085e5,liquidation,462130000000000.0,465600000000000.0,1.0075087096704392,,,2.45890723117523e+21,,,,,,,,
2432098550971198122,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,4858371777522460562153,BUSD,1624184905,0x210555a16e8d5d2641fc003574ed0288c85988c9,liquidation,471957336323123.0,476761441965950.0,1.010179110002303,,,4.907825678277946e+21,,,,,,,,
27850537,WBTC,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,8813922391945842950423,DAI,1621759108,0x967775b2974fc9b74a85ee682c279e660cd4a6ee,liquidation,477055632093005.0,477946324989617.0,1.0018670629517656,1.6638242604905509e+19,34876.94408282717,8.830378539903584e+21,971341621625.7092,,,,,,,
871766890260397869276,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,3250985685609,USDT,1620863781,0x208b82b04449cd51803fae4b1561450ba13d9510,liquidation,255385369697452.0,255385369697452.0,1.0,,,3250985685608.9995,,,,,,,,
68891996781208070500,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,176298972232137919430894,TUSD,1621426972,0xcd048640f63583fae774e95527d7281fb42a19f1,liquidation,372241145237726.0,372160000000000.0,0.9997820089510144,,,1.7626054063424594e+23,,,,,,,,
5366122513558641972546,REN,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1987053487,USDC,1621746613,0x9c565bb6a3fd2e5c92fbdca519f2285a40079a4b,liquidation,444965000000000.0,443625491688569.0,0.9969896321925746,180700000000000.0,0.4060993561291337,1981071725.1511028,2.179178897666213e+21,,,,,,,
484249115936406813,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,971603917687727178601,DAI,1624185914,0x02feb30219ab9ecbfe083189f72a318db6affc97,liquidation,471957336323123.0,474668355931203.0,1.005744204824107,,,9.771850095988302e+20,,,,,,,,
5602545473519368866,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,9348591139,USDC,1624369450,0xf5426bf2c1839bf45a80c0d284d5925b6a4fb8d9,liquidation,566080000000000.0,570755262958128.0,1.0082590145529395,,,9425801289.266483,,,,,,,,
125151133907849665916,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,239522639598,USDC,1624257900,0xc22060a0e86cc0ee5c24407303aec752e2791c3a,liquidation,498055000000000.0,497621253267573.0,0.9991291188073064,,,239314043835.94977,,,,,,,,
1789038448021287590,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,307902,GUSD,1624633758,0xf807ea9aa78d0615e1f87aeaf9ca2a660ff029f6,liquidation,552724075384049.0,446377218623049.0,0.8075950343087425,,,248660.1262537304,,,,,,,,
7964802888392729515,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,10726193985535841499051,DAI,1614483532,0x6c07b538fc627ae1465136f14f0f2e6143eeebf5,liquidation,709516600269541.0,707196473474471.0,0.996729989412244,,,1.0691119217636815e+22,,,,,,,,
23924487102887661629,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,55216904421,USDC,1621435139,0x70c0bc6250966a26b429b08cd03276bb55269141,liquidation,410963680062732.0,412649460363597.0,1.00410201772723,,,55443405141.7777,,,,,,,,
5421826870249973580,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,11365655569495747869047,DAI,1624040035,0x0cf861f96378dbd5194d74cbe6b0424fafaed940,liquidation,450107128372819.0,454320000000000.0,1.0093597087484727,,,1.1472034795361686e+22,,,,,,,,
43376236428938786798,LINK,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,536468133,USDT,1626762756,0x4846aee6d7c9f176f3f329e01a014c2794e21b92,liquidation,571400000000000.0,571400000000000.0,1.0,7773650000000000.0,13.60456772838642,536468133.0,5.901149463e+20,,,,,,,
2119554,WBTC,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,680577280879465859736,DAI,1621816101,0xf2f438378e2fd278f9ea1833507de2e751081c36,liquidation,458729318854125.0,459930000000000.0,1.0026174065980222,1.624491165e+19,35412.848018039695,6.823586283449038e+20,75059443668.0281,,,,,,,
24974608036893004755,LINK,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,457313193309646993608,DAI,1624183738,0x117611135c32649b0fb4893d781ffc8fb99a73eb,liquidation,462429196973033.0,464200000000000.0,1.003829349527578,9350027132470762.0,20.21937021640097,4.590644053704025e+20,5.049708459074427e+20,,,,,,,
415720847402614928317,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1053075629651,USDC,1621424024,0xafb8f62fb189fc74b446f2bf7133f0a84931e2b0,liquidation,382547102532893.0,375969783580627.0,0.9828065121687846,,,1034969586627.246,,,,,,,,
146997640843958704053,AAVE,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,24033270788,USDT,1624364944,0x31adfbf4f653bcdc3a12c889fa721ee76605ffa8,liquidation,550005000000000.0,550005000000000.0,1.0,9.891492765631626e+16,179.8436880688653,24033270788.0,2.6436597866800003e+22,,,,,,,
374934973717756750,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,681350836,USDC,1621776940,0x9993c65221dfb6cd386545500c4c26d2a875b914,liquidation,526337774794954.0,524077917694438.0,0.9957064508596284,,,678425422.7038008,,,,,,,,
1015511163167259576,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,2375277162932069055001,DAI,1623392279,0xbe3c7637815db18f5d471a3a0d4f937ae83dad0e,liquidation,406439062024180.0,407175004173769.0,1.0018107072335118,,,2.379578094472585e+21,,,,,,,,
3775071664481263269,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,7044647596059668935166,DAI,1621782641,0x8ee4e42ba48ba33c9c404779b94b691298b83616,liquidation,508830000000000.0,510360000000000.0,1.0030068981781737,,,7.065830134082135e+21,,,,,,,,
944107447426755602923,BAL,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,35048255766,USDT,1621423142,0xe6c486eb5f5cc2c64b53ab6c3942986d648c9b89,liquidation,358756644686632.0,358756644686632.0,1.0,1.465e+16,40.83548058823143,35048255766.0,3.85530813426e+22,,,,,,,
38086825013683409921,LINK,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,720494085488223932612,DAI,1621816101,0xceee7adc8f403661fc2d72471a6e20631a5b36bf,liquidation,458729318854125.0,459930000000000.0,1.0026174065980222,9570620000000000.0,20.86332747143079,7.223799114614169e+20,7.946179026075585e+20,,,,,,,
99163917408342887969,LINK,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,270761,GUSD,1621550389,0x827e419822915cef1ac701f5b54d5696f67afa44,liquidation,360930000000000.0,446377218623049.0,1.2367418020753302,1.0906984075880594e+16,30.219111949354705,334861.4470717185,2.996645521499277e+21,,,,,,,
1244050607339074500,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,2258028439,USDT,1624311937,0x510a93aa831fe2731488957f96e95da9b081639d,liquidation,524710000000000.0,524710000000000.0,1.0,,,2258028438.9999995,,,,,,,,
248599969478657568448,LINK,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,2250946262227300101,WETH,1621755600,0xe0255bf95ea915474188f3609f329047d9fc7a5f,liquidation,461450000000000.0,,,9959940436205884.0,21.58400787995641,,5.365783700184267e+21,,,,,,,
2692820993236289459783,LINK,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,56803491376,USDC,1621631449,0xdcab864808ee2277880f3b56af81f594a7ab656e,liquidation,453242922397850.0,448740000000000.0,0.9900651015706378,1.04125e+16,22.973331706788485,56239154458.746284,6.186306990462091e+22,,,,,,,
3162570665730195977,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,5382849805,USDC,1624691507,0xf5426bf2c1839bf45a80c0d284d5925b6a4fb8d9,liquidation,556060000000000.0,559549712831006.0,1.0062757846833184,,,5416631411.358822,,,,,,,,
44516947534774838939,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,103165060435,USDT,1621435044,0xc39c7427a91d064cf65eaeaf3f63ec9e31901059,liquidation,410963680062732.0,410963680062732.0,1.0,,,103165060435.0,,,,,,,,
912326812517263183253,LINK,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,19432949299026272186458,DAI,1621631066,0xbc8b718bfb350629ebbdbffc97e58cd156c6308d,liquidation,444024343375940.0,444400000000000.0,1.000846027092127,1.04125e+16,23.45029085755349,1.9449390100613184e+22,2.1394329110674498e+22,,,,,,,
23642605,WBTC,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,6462480128521258888593,DAI,1611268311,0xc65ee4f20226ff0f7aa546a368036e640c57d3be,liquidation,884960972656977.0,886469388871971.0,1.0017045002679217,2.665387281e+19,30118.698602013275,6.473495427631761e+21,712084494161.452,,,,,,,
44474851369798166,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,70047658,USDC,1615143862,0x1fe5258de3150133cea1008cc2dcb1e268a03c42,liquidation,604800392813757.0,604688329545146.0,0.9998147103243606,,,70034678.89216988,,,,,,,,
4335641903089878269,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,12802744780,USDT,1621396690,0x0bf66bed1971055c5df68946d5ad094d0a9901b7,liquidation,322523242929748.0,322523242929748.0,1.0,,,12802744780.0,,,,,,,,
244075163644135128,AmmBptBALWETH,0xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,150480773817050146142,AmmDAI,1626068711,0x2a641b3a382be2f82293d499ec4c23026112f947,liquidation,462490000000000.0,463780000000000.0,1.0027892494972863,2.849015667835893e+17,616.0167069203427,1.509005022397706e+20,1.503543785491039e+20,,,,,,,
2559988360189386972958,LINK,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,66258159189967088932565,DAI,1621432801,0xec32a1b6517b870a0daecc0be1d17a527187039f,liquidation,402503975344341.0,399498325476123.0,0.9925326206638166,1.137389e+16,28.25783270903019,6.576338438117838e+22,7.233972281929622e+22,,,,,,,
8996028518711934786110,LINK,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,15011110,GUSD,1621773744,0xbbe63e0b3aecbfbd0050a2176b773a5c0c20564e,liquidation,493008596667571.0,446377218623049.0,0.9054146756066306,9091980000000000.0,18.4418285227805,13591279.291145448,1.6590321532812856e+23,,,,,,,
151438188111840000,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,318522186,USDT,1624058313,0x442a818d62db1090ba315adf2af0658cc2bcc420,liquidation,452800000000000.0,452800000000000.0,1.0,,,318522186.0,,,,,,,,
19814662323617352771,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,35309447858004183795456,DAI,1624321163,0x5daf04975aa44545b5aecfd66be15f4cc6ed8406,liquidation,534930000000000.0,534449223073757.0,0.999101233944174,,,3.527771292481945e+22,,,,,,,,
90801293146899673321,AAVE,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,36311274237,USDT,1621434144,0xaea61dcd45cd299a8beb0d42484344fc20624e95,liquidation,411080000000000.0,411080000000000.0,1.0,1.8082917e+17,439.88802666147706,36311274237.0,3.99424016607e+22,,,,,,,
78676804,WBTC,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,24825240036,USDC,1621472092,0x784269e496513a97f0490cd94cd4467442a2b9be,liquidation,453634086961022.0,453018543691819.0,0.998643084179748,1.572372382e+19,34661.68939229438,24791554275.0536,2727070942626.424,,,,,,,
9915014450231319487,AAVE,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,4035633998,USDT,1621510874,0xd79f8a8d9d17b1936e1356e42b14124f76a234c1,liquidation,366620000000000.0,366620000000000.0,1.0,1.658820210641779e+17,452.4630982057113,4035633998.0,4.48617815690606e+21,,,,,,,
402364200568292311392,LINK,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,8368490311,USDC,1621631455,0xc2294e78c47d296040793e63d7efc6827df1bf03,liquidation,453242922397850.0,455129037911336.0,1.004161378855091,1.04125e+16,22.973331706788485,8403314769.629229,9.243646246592152e+21,,,,,,,
16017654,AmmWBTC,0xacc030ef66f9dfeae9cbb0cd1b25654b82cfa8d5,5500000000000000000000,AmmDAI,1621439896,0x1825e17795db36d3be6bad1efa3343078fe0aee4,liquidation,367414975710110.0,367973469547883.0,1.001520062802812,1.38986613e+19,37828.238419345296,5.508360345415466e+21,605919634430.5798,,,,,,,
14903703971610109790,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,33308234093102805421993,DAI,1622301137,0xb64943f4f26d837ceeac96cae86d1bab23a3414d,liquidation,423710000000000.0,426140987925415.0,1.0057373862439287,,,3.349933629719813e+22,,,,,,,,
5837574642,USDC,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1425088024204638138,WETH,1620585115,0x6301add4fb128de9778b8651a2a9278b86761423,liquidation,256360000000000.0,,,256329471931716.0,0.9998809171934624,,5836879487.228258,,,,,,,
22393602750234407875,LINK,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,276604519,USDC,1626828309,0x7d3717aaf404875dfcd807882550a5476cf40e7a,liquidation,562148116701802.0,562956077957165.0,1.0014372746814548,7648961919529539.0,13.606666450128872,277002075.67193466,3.047022832391281e+20,,,,,,,
57217732852626984294,UNI,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,864957823719412036254,DAI,1621813798,0xac888de5d26d24770ff49539e9369a66c5c41710,liquidation,476627170705620.0,480916995524556.0,1.009000378246555,7997000000000000.0,16.778313305472885,8.727427713002039e+20,9.600170484302243e+20,,,,,,,
