date,LINK_deposited,WBTC_borrowed,WETH_deposited,WBTC_deposited,USDC_borrowed,UNI_deposited,YFI_deposited,ZRX_deposited,DAI_borrowed,USDT_borrowed,user
2020-12-28,85.84374626556064,0.020000553409288552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2020-12-29,85.84374990757533,0.02000106331756327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2020-12-30,85.84450446293818,0.02000137917751717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2020-12-31,85.84543611523694,0.020001570146117073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-01-01,85.84580177752059,0.02000174766691499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-01-02,85.84672168580497,3.8767158432616905e-07,7.000020236684136,0.2270591066678564,9003.40918185353,0.0,0.0,0.0,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-01-03,85.84700259145201,3.876765412730293e-07,7.000042506061021,0.22705940501307262,9008.675197962117,0.0,0.0,0.0,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-01-04,85.84709854609045,3.8768163745520726e-07,7.000068110021199,0.22705971279595025,9012.697954108666,0.0,0.0,0.0,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-01-05,85.84712389125626,3.876863237999058e-07,7.000109769225386,0.22705998548711617,9014.731870553345,0.0,0.0,0.0,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-01-06,132.63920675478073,3.8768970993497784e-07,10.000177093733917,0.31284991631871517,14028.12841740277,0.0,0.0,0.0,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-01-07,132.6392158026328,3.8769309745733195e-07,10.000241688983865,0.31285019280710313,14031.571882308695,0.0,0.0,0.0,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-01-08,132.63922410521337,3.876965433313532e-07,10.000303531863047,0.31285046802583744,14035.016192477098,0.0,0.0,0.0,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-01-09,132.63923192503333,3.877008211406102e-07,10.000384116734454,0.31285081321629044,14038.461348115461,0.0,0.0,0.0,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-01-10,132.63923929170159,3.877057993324762e-07,10.000494741013702,0.31285120441312164,14041.907349431322,0.0,0.0,0.0,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-01-11,132.63924643239773,3.8771047992931845e-07,10.000618295867374,0.3128515244176794,14045.354196632266,0.0,0.0,0.0,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-01-12,132.6392488872045,3.8771521222312995e-07,10.000747639632484,0.31285182379828314,14048.801889925935,0.0,0.0,0.0,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-01-13,132.63925786468863,3.8771913072397574e-07,10.000919978200669,0.3128520877400081,14052.250429520016,0.0,0.0,0.0,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-01-14,132.63926886054313,3.8772251397147934e-07,12.75125685356298,0.3304348314124731,14055.699815622249,142.14980684477734,0.0,0.0,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
